	gene	pops
310	MRE11	P1C05;P2B04;P2C05;P2E08
311	TRF5	P1C05
312	SRV2	P1C05
313	MLS1	P1C05
314	HRT1	P1C05
315	RSB1	P1C05;P1G05
316	YOR212W;YOR212W	P1C05
317	HNT3	P1C05;P2G09
318	MUM3	P1C05;P3F03;P3E02
319	IQG1	P1C05;P2B04;P2G05;P1G05;P3C05;P2E06;P2E06;P2E06;P3G10
320	EAF3	P1C05
321	NVJ2	P1C05;P2D03
322	CTF4	P1C05;P3D09;P3F03
323	SEF1	P2G08;P3B10;P1B11;P3F03;P1E09
324	MNN2	P2G08;P3D09;P3F07
325	IST2	P2G08;P2G05;P3D02;P1E04
326	ILV6	P2G08;P1F05
327	TUP1	P2G08;P2C10;P2D03;P2B04;P2G05
328	PUS9	P2G08;P3C07;P2G11
329	KCS1	P2G08
330	MRH1	P2G08
331	SEC7	P2G08;P3G02;P1B02;P1G04;P2C05;P3E11
332	SCC2	P2G08;P3F05;P1G05;P2C11;P1D03;P1C04;P1C04
333	YPR1	P2G08;P3D09
334	ESL1	P2G08;P1C06;P3G06;P3C07;P3D10;P1C07;P3E11;P1C04
335	RNR3	P2G08;P1E04
336	FLO11	P2G08;P3D09;P3G02;P3B10;P3C07;P3C03;P1G10;P2G04;P3E02
337	MAK10	P2G08;P3E02
338	AFG1	P2G08
339	PAC2	P2G08
340	DOT6	P2G08;P1G09;P2G11;P1D09
341	NUP157	P2G08;P2C10;P3G02;P3G11;P3G11;P3C05;P1F08;P3D05
342	LCP5	P2G08;P1C02
343	TOG1	P2G08;P3B10;P1C07
344	BLM10	P2G08;P3C05
345	RTG2	P2G08;P2D06
346	ADE5,7	P2G08;P2C10;P1C11;P1C11;P3G02;P1C02;P1C02;P3G06;P1F07;P1B11;P3F11;P1B02;P3C07;P2G05;P3C10;P3D03;P3D10;P2B07;P3F05;P3D02;P2G10;P3E08;P2F09;P1E04;P1E04;P3F07;P2E06;P3F03;P3G09;P3G10;P2D11;P2C11
347	NCS6	P2G08;P1E04
348	MCM6	P2G08;P3G06;P1G05;P3D11
349	ALK1	P2G08
350	CLD1	P2G08
351	YAP1802	P2G08;P3G10;P2D06
352	YHK8	P2G08;P2F09
353	FLO5	P2G08;P1E04;P1E04;P1E04;P1E04
354	MNN14	P2G08;P1C06;P1C02;P1C02;P3G11;P3C04;P3C04;P1G04;P3D10
355	YPT52	P2G08
356	YLR110C;YLR110C;YLR110C	P2G08;P2C10;P1G10
357	YCS4	P2G08;P3F05
358	SWC7	P2G08;P3F03
359	NAB6	P2G08;P2B04;P3C03;P3F07;P2D11;P2D06
360	TAF8	P2G08;P3C10;P2B05;P2E06
361	NUP188	P2G08;P3C04;P3F05;P2E06;P2D08;P2D11;P3F09;P2C11
362	HMG1	P2G08;P1B11;P3F05;P3B11
363	SPT5	P2G08;P3C04;P2E06;P2D08;P3F09
364	MYO5	P2G08;P3D09;P2C04;P1B07;P2G04;P1C07
365	YKU70	P2G08;P2B10;P3D05
366	RAD50	P2G08;P3C05;P1E04;P1G08
367	TOP2	P2G08;P2D03;P3E08;P2B05;P1G08
368	SFB2	P2G08;P3C03;P3F05
369	HRD1	P2G08
370	CRC1	P2G08
371	ADE2	P2G08;P3C05;P2F07
372	MCT1	P2G08;P1C08;P1G04
373	GDE1	P2G08;P2G08;P2C10;P2D03;P2C04;P1F07;P3C03;P2B07;P2D08;P1C07;P2C11
374	BRO1	P2G08;P3E11
375	SUR1	P2G08;P3D09;P1C11;P1E04;P1E04;P3D05;P1C07;P3F09;P3E11
376	IRC15	P2G08;P1F08
377	ALK2	P2C10
378	PFF1	P2C10;P1F08
379	MRPS9	P2C10
380	PDB1	P2C10;P1E04
381	EMC1	P2C10;P3D05;P1F05;P2C02;P2C02
382	FIG2	P2C10;P2B04;P2B04;P3G10;P3E02
383	GYP7	P2C10;P2B04;P3C03;P2B05;P3B11;P2G09
384	BPL1	P2C10;P2C02
385	YET3	P2C10
386	NEO1	P2C10
387	PDR11	P2C10;P1G05;P2B05
388	PCM1	P2C10;P2D03
389	GIP2	P2C10;P3G05;P1G10
390	BOI2	P2C10;P1C02;P2G11;P1B04
391	COG3	P2C10;P2B10;P2C02
392	CTT1	P2C10;P1G11
393	RTS3	P2C10;P1C02;P2B04
394	CDS_VII_818060_822022	P2C10
395	THR1	P2C10
396	KSP1	P2C10;P3D09;P3D09;P3G05;P3G05;P3G06;P3D03;P3D02;P1B03;P1C07
397	NDT80	P2C10
398	TDH1	P2C10;P2F09
399	KCH1	P2C10
400	AIM25	P2C10
401	ADD66	P2C10
402	FAS1	P2C10;P1C02;P2D03;P3G06;P2C04;P2B04;P1G10;P3F05;P3D11;P1B04;P2E11;P3F03;P2C05;P2D06;P2E08;P2F07;P2C06;P1D03;P2C02;P1C04
403	APL2	P2C10
404	SMC4	P2C10;P1B02;P1G10;P2C02
405	SLS1	P2C10;P1D09;P2F09
406	CLB4	P2C10;P3E02
407	IKI3	P2C10;P1H11;P2C02
408	LEU3	P2C10;P1C06;P1C02;P2D03;P3G06;P1F07;P2B04;P1B02;P2B07;P3D02;P1B03;P1F08;P3F07;P3F03;P1C09;P1E09;P2C02
409	ZDS2	P2C10;P3F11;P2D06
410	FAR8	P2C10;P2C04;P3C07
411	FET3	P2C10;P3G02;P2D06
412	RKR1	P2C10;P1C06;P3G02;P1B02;P3C10;P1G05;P2B11;P2B11;P3F07;P3D05
413	YTP1	P2C10
414	MSH2	P2C10;P3G02;P2C05
415	CMR2	P2C10;P3C03;P1B04;P2E06
416	BFR1	P2C10;P1G09;P1H11
417	RET1	P2C10;P1F07;P1D03
418	TRE2	P2C10;P2B04;P3C03
419	FDH1	P2C10;P1B02
420	FRK1	P2C10;P3B10
421	MUK1	P2C10;P2F09;P3E11;P2C02
422	VTC3	P2C10;P1C02;P3B10;P2B05;P2C02
423	CIP1	P2C10;P3D11
424	PUF2	P2C10
425	R0020C	P3D09;P3D09;P3G05;P3G05;P3G02;P3G06;P3G11;P3G11;P3B07;P3B07;P3B10;P3F11;P3C07;P3C07;P3D03;P3D10;P3D10;P3D11;P3E08;P3E08;P3B08;P3B08;P3G09;P3G09;P3C11;P3G10;P3G10;P1G08;P3F09;P3B11;P2B08;P3E02
426	DRS2	P3D09;P2D06;P1C04
427	FAT1	P3D09
428	ECM2	P3D09;P2B07
429	TYR1	P3D09;P3C07
430	VHC1	P3D09;P2E06;P2D06;P2C02
431	PEX19	P3D09;P2C05
432	TGL2	P3D09;P2C02
433	CDS_IV_981252_982568;CDS_IV_981252_982544	P3D09
434	TFB1	P3D09;P3B07;P1B04
435	TRP4	P3D09;P2B04;P1G05
436	PPZ2	P3D09
437	GNP1	P3D09;P2B07
438	PFK26	P3D09
439	EPS1	P3D09;P3E02
440	MSL1	P3D09
441	YEF1	P3D09;P2G05
442	YAT2	P3D09;P3G05;P3C05
443	DNF1	P3D09;P3E11
444	FET5	P3D09;P1G05;P3D02
445	BUD27	P3D09;P2C04;P1G04;P2B10
446	PTR3	P3D09;P3E02
447	MSB2	P3D09;P3C10;P1G04;P2G04;P3E11;P3E11
448	RSC1	P3D09;P1C02;P2B04;P1G10;P3D10;P3D10
449	ENV11	P3D09;P3F05;P1B07;P1C07
450	UPF3	P3D09;P1C06
451	MRPL9	P3D09
452	ARN2	P3D09;P3C04
453	PUT2	P3D09;P3F11
454	HXT5	P3D09;P3G02;P3C05;P3B08
455	PRP8	P3D09;P3D11;P1E04;P2E06;P3D05;P2G04;P3G10;P2D06
456	NMD3	P3D09
457	ACO2	P3D09;P2D03;P2B10;P3D02;P3F03;P2C06;P2C02
458	ESS1	P3D09;P2B04
459	TES1	P3D09
460	UTR1	P3D09;P3F11;P3G10;P3B11
461	CDC11	P3D09
462	JHD2	P3D09;P3G05;P3G10
463	VPS70	P3D09;P2E11;P2E08
464	CTK1	P3D09;P1C02;P2B04
465	MPE1	P3D09
466	SIR1	P3D09
467	NFT1	P3D09;P1C06;P3C03;P2D11;P2G09
468	GAA1	P3D09;P1B02;P2C05
469	IOC2	P3D09;P2B10;P2E06;P2C06
470	REX3	P3D09;P3G02;P2E06
471	YPS1	P3D09
472	YPS3	P3D09;P3C07;P2G05
473	RED1	P3D09
474	RPL26A	P3D09
475	TUB1	P3D09;P3C03;P3D05
476	OGG1	P3D09
477	ERG5	P3D09
478	HFD1	P3D09;P1C04
479	ADE17	P3D09;P1D03
480	CIK1	P3D09;P2G05;P3F05
481	EFR3	P3D09;P1C02;P1B02
482	ZRC1	P3D09
483	MGS1	P3D09;P3C04;P3F03
484	ACC1	P3D09;P2C04;P3C04;P3D02;P3E02
485	PUL3	P3D09
486	TRM11	P3D09;P2B05
487	TSR4	P3D09;P3C04
488	IRC10	P3D09
489	RIO1	P3D09;P1C06;P1C04
490	SNF2	P3D09;P2C04;P2B05;P2B05;P1H11;P3D05
491	PMT3	P3D09;P3F05;P2B05
492	MNE1	P3D09;P1E04
493	NDD1	P3D09;P3D02;P1G08;P2C06
494	VIK1	P3D09;P1B07
495	RTT10	P3D09;P2B04;P1E04
496	PEP4	P3D09;P3E08;P2D11
497	RDS2	P3D09;P1F07
498	RGL1	P3D09
499	SSN3	P3D09;P1C04
500	KRE6	P3D09;P3D05;P3F09;P3E02
501	ORC4	P3D09;P2G04;P1G08
502	CLN3	P3G05;P3E08
503	BUD14	P3G05;P1B03
504	AAR2	P3G05;P2C11
505	TOD6	P3G05;P3D03;P2D08;P3E02
506	CHS3	P3G05;P2C02
507	RIF1	P3G05;P3C04;P3C04;P2B07;P3E08
508	APE3	P3G05;P3E02
509	LEU2	P3G05;P3D05
510	RRT12	P3G05;P1G04;P2D06
511	RDS1	P3G05;P2B04;P2B04;P2B04;P3C04
512	RAM1	P3G05
513	SIR2	P3G05;P3F05;P2B05
514	MRX9	P3G05
515	DNF2	P3G05;P2B07;P2B11;P3F07
516	CDS_IX_29031_29414	P3G05
517	FLX1	P3G05
518	ASG1	P3G05;P1B11
519	SEC24	P3G05;P2F09;P2G04
520	YVH1	P3G05
521	PXP1	P3G05
522	SHO1	P3G05
523	SPT2	P3G05;P1C06;P2D03;P3G11;P3C04;P2B10;P2B08;P3E11;P1C04
524	BRR2	P3G05;P2D03;P2D03;P2C04;P3F05;P1D09;P1B04;P2C02
525	COS4	P3G05;P2E06
526	CSE1	P3G05;P1B02;P2D06
527	GCN1	P3G05;P2G05;P2G05;P1D09;P3E08;P1B03;P1E04;P2D08;P2D06;P1F05
528	CEG1	P3G05
529	AFT1	P3G05;P3C05;P2D06
530	PEX8	P3G05;P3C03;P3E08;P2E08
531	SET5	P3G05
532	RPL17B	P3G05;P1G05;P3D05
533	YUR1	P3G05;P3G06;P3F07
534	TIF2	P3G05;P1D03
535	LCB3	P3G05;P3G02;P3G06;P3C03;P3C04;P3C04;P3D10;P3F05;P3D11;P3C05;P3C05;P2B05;P2E06;P3F03;P3C11;P3G10;P3B11;P3E11;P3E02;P2C06;P2C06
536	UBX6	P3G05;P1C11
537	IME1	P3G05
538	YJU3	P3G05
539	URB1	P3G05;P2C04;P3C10;P3D11;P1C04
540	RPC37	P3G05
541	YBT1	P3G05;P1C02;P2B04;P1D09;P2F09
542	FMP25	P3G05;P3D03;P2B07
543	THI7	P3G05;P3G06;P1B02;P3F03
544	CTF3	P3G05;P3F03
545	HMG2	P3G05;P3C05
546	COQ5	P3G05;P3F11
547	CLU1	P3G05
548	CDS_XIII_373093_377055	P3G05;P2G04
549	ISF1	P3G05;P1G05;P1G05;P2E06;P3F03
550	INP1	P3G05
551	TAF7	P3G05;P2C06
552	TRI1	P3G05
553	RSN1	P3G05;P1G04;P2B05
554	NIP1	P3G05;P3G05;P2D03;P3E08;P2D06
555	CHS1	P3G05;P2F09;P2C02
556	FKH2	P3G05;P2C04;P3G11;P2B04;P1B02;P2G05;P3C03;P2B05
557	LAP2	P3G05;P2E06;P1C04
558	PPG1	P3G05;P1F07
559	DBP5	P3G05;P3F11
560	YRM1	P3G05
561	FRE3	P3G05;P3D05;P2G04
562	MMT2	P3G05;P1C06;P1B07;P3D05
563	MRN1	P3G05;P2G05;P2E06;P2G04
564	RRD2	P3G05
565	TFB4	P3G05
566	KAR3	P3G05;P2D06
567	NCE102	P3G05;P1E04
568	CUR1	P3G05
569	STP22	P1C11;P3G11
570	VTC5	P1C11;P1B02;P1G04;P2G09
571	SUP35	P1C11;P1B11;P2B05;P2B05;P2D06
572	UPS3	P1C11;P1G04
573	RAD30	P1C11;P2G05;P2B08;P2F07
574	CYM1	P1C11;P1C02;P3G10;P1E09
575	CHC1	P1C11;P1C02;P3B07;P2F09;P2G04
576	ELP2	P1C11;P2G10;P2B11;P2C06
577	VPS13	P1C11;P1G09;P2B04;P3D03;P2B05;P3F03;P2C06
578	PET309	P1C11;P3D11;P2C02
579	DPH6	P1C11;P2G05;P1G10;P3F03
580	FRE1	P1C11;P2D03;P2B04
581	CDC73	P1C11;P1C08;P3D05;P3C11
582	IMD4	P1C11;P1F10
583	ZDS1	P1C11;P3B10
584	UBP15	P1C11;P1E04;P3G10;P2C05;P1D03
585	BNI1	P1C11;P1C02;P2D03;P1G09;P1B11;P3C04;P1E04;P2E06;P3G10;P2D06;P1F05
586	SUN4	P1C11;P3C03
587	COQ2	P1C11;P3C03
588	ITR2	P1C11
589	ASE1	P1C11;P1B02
590	MDM32	P1C11
591	HER1	P1C11;P3C03;P3C04;P3C11;P2F07;P2F07
592	APL4	P1C11;P3C05;P2C06
593	GCV3	P1C06
594	ETR1	P1C06;P2D06
595	EDS1	P1C06;P1B11;P2B04;P3D03
596	NRG2	P1C06;P2D06
597	TOS1	P1C06;P2B05
598	YBP1	P1C06;P1B11;P2C06
599	TDP1	P1C06;P1B02;P2C05
600	ARC40	P1C06;P3F11
601	BUD23	P1C06
602	CTR86	P1C06
603	SSB1	P1C06;P3E02
604	ASF2	P1C06;P2B10;P3D11
605	SNF3	P1C06;P3D05;P3D05;P3D05
606	DLD1	P1C06
607	RXT3	P1C06
608	CDC7	P1C06;P3G09
609	VMS1	P1C06
610	RPT3	P1C06;P2F09;P3E11
611	GPI17	P1C06;P2C05
612	UTP6	P1C06;P2C02
613	BNR1	P1C06;P2B04;P3D11;P3C05;P3B08;P3F03;P3G09;P3G10
614	HOS4	P1C06;P3C04;P2C05
615	SSM4	P1C06
616	DAL81	P1C06;P2D03;P1D09;P2F09;P2G04;P2D06
617	NRE1	P1C06
618	RAD51	P1C06
619	UBP3	P1C06;P2G05;P3C04;P1E04;P2D11
620	SPT16	P1C06;P3G06;P3F05;P2C02
621	MDS3	P1C06;P2D03;P2C04;P3B10;P2B11;P2G04;P2C05;P2D11;P2C11;P2C11;P2G09
622	MND1	P1C06
623	SLD3	P1C06;P3G11;P2B10
624	ALG2	P1C06
625	GEP7	P1C06
626	TEL2	P1C06;P1G04;P2B11
627	PBP1	P1C06;P3D03;P1C04
628	TFG1	P1C06
629	RIE1	P1C06;P2G05;P2G11;P2B10;P1D09;P3F03;P3D05;P2C05;P1C07
630	STE20	P1C06
631	RPF1	P1C06;P2D03;P3D02
632	SPL2	P1C06;P1B02
633	MRPL6	P1C06;P3C07
634	SPO16	P1C06
635	NCA3	P1C06;P1B02;P3D02
636	GWT1	P1C06
637	SCP160	P1C06;P1C06;P2D03;P3D02;P1H11;P3D05
638	PRY3	P1C06;P1C06;P2C05
639	KAR2	P1C06;P2C05
640	TMA22	P1C06;P3B07;P1G04
641	RFC2	P1C06
642	RSM26	P1C06;P3D02
643	IML1	P1C06;P2C04;P3C05;P2F09
644	ABF1	P1C06;P3G06
645	LAS1	P1C06;P2B04
646	SOF1	P1C06;P2B05
647	MLO50	P1C06;P1G04;P3D10;P1B04
648	IES3	P1C06
649	CHA4	P1C06;P2D03;P2D06
650	IRC20	P1C06;P3C05;P3E02
651	LUG1	P1C06
652	ROM2	P1C06;P2F09;P3F03;P3F09;P3E02
653	RRN11	P1C06;P3C07
654	FMS1	P1C06;P2G04;P2D06
655	EPO1	P1C06;P2D03;P3E02;P3E02
656	SCS7	P1C06
657	DSS1	P1C06;P2B04;P2B04;P1B04
658	DIA1	P1C06;P3E02
659	MSB3	P1C06;P3F11
660	MPA43	P1C06
661	PEX17	P1C06
662	TOM22	P1C06
663	PHO23	P1C06;P1G09;P1G09;P1B11;P3F03;P2C11;P1D03
664	CRZ1	P1C06;P1C02;P2G05;P3D10
665	ARE2	P1C06;P1C02;P2B04;P1B02;P3D03;P1G04;P1G05;P1B03;P1E04;P2C05;P2D06;P2C02;P1C04
666	HAL9	P1C06;P2B04;P1G05;P2C05
667	MET22	P1C06;P1G04
668	EFT1	P1C06;P3C10
669	ARP8	P1C06;P3C04;P2C06;P1C04
670	PDR5	P1C06;P2C04;P2C04;P1B11;P3C04;P1G05;P1G05;P1E04;P1H11;P3B11
671	NOC2	P1C06;P2D06
672	NOP58	P1C06;P2B11
673	DGK1	P1C06;P1E11;P1B04
674	CDS_XV_970164_971457	P1C06;P1E04
675	TYE7	P1C06;P2D06;P3F09
676	HSP82	P1C06;P3E02
677	FAS2	P1C06;P3G11;P3G11;P2B04;P2B05;P2D06
678	BMS1	P1C06;P1C08;P3E02
679	NAB3	P1C06;P3G06;P3C05
680	TCO89	P1C06;P1C06;P3D02;P2G04
681	NAN1	P1C06
682	MOT1	P1C06;P3B07;P2G05;P2C05;P1C04
683	MET31	P1C06;P1E04
684	CHL1	P1C06;P3C04;P3C05;P1D03;P1D03
685	OAF1	P3G02;P3F11;P1G05;P3D02;P1F08;P3F07;P2G09
686	SWH1	P3G02;P2B04;P1G10;P1G10;P1B04
687	FUI1	P3G02;P3G11;P3C05;P2E06
688	SCT1	P3G02;P3G10
689	LRE1	P3G02;P1C04
690	FUS1	P3G02
691	MRPL32	P3G02;P2C02
692	ADP1	P3G02;P2C04;P3G11;P3C04;P1E11;P3F05;P3D02;P3E08;P3B11;P1F05;P3E11
693	PMT5	P3G02
694	AHK1	P3G02;P3B07;P2B05;P2D08;P2C02
695	BAP3	P3G02;P3G06;P1E04
696	PDC2	P3G02;P3B07;P3B11;P2G09
697	FOB1	P3G02;P3D02
698	HOM2	P3G02;P3D02
699	CDS_IV_802984_804306	P3G02
700	HMO1	P3G02
701	SIR4	P3G02;P1G04;P2G10;P1H11
702	AMD2	P3G02;P1F10
703	MRX10	P3G02
704	DPL1	P3G02;P2F07
705	HDA2	P3G02;P2B08;P3E02
706	CAD1	P3G02;P2C04
707	PKH3	P3G02;P1D03
708	MET30	P3G02
709	ZRG8	P3G02;P2B04;P2G05;P3C04;P3C04;P3F05;P3D02;P2G10;P3F07;P2B05
710	HIS1	P3G02;P3G06;P2C04;P1B02;P2G05;P3D03;P1E11;P3C05;P2G10;P1B03;P2E06;P2G04;P2D11
711	ALD5	P3G02;P3C10;P3E08;P2G04
712	ZNF1	P3G02;P1F10
713	RPL2A	P3G02
714	STT3	P3G02;P1E09
715	PMC1	P3G02;P3G06;P3C05;P1D03
716	PTI1	P3G02;P2B07
717	BIO2	P3G02;P1C02
718	VMR1	P3G02;P3G06;P2B11;P1E04;P1E04;P2E06;P2F07;P2C06
719	DAP2	P3G02
720	NCP1	P3G02;P3D02;P2D11
721	YHR084W;YHR084W	P3G02;P1G09;P3F11;P3D03;P3F05;P3D05;P3C11
722	RPB4	P3G02
723	IME2	P3G02
724	BUD2	P3G02;P3G06
725	SFK1	P3G02;P1C07
726	MCO12	P3G02;P2B08
727	PRP16	P3G02;P2D03;P1C07
728	FRE6	P3G02;P3G02;P3C07
729	GSY2	P3G02;P3C04;P3D03;P3F05;P3F03;P3F03;P2G04
730	GCD7	P3G02;P2B11
731	TAD3	P3G02;P3E11
732	ADE13	P3G02;P1G09;P1G11
733	DCR2	P3G02;P3F11
734	SFP1	P3G02;P3D03;P3G09;P2D11
735	INA1	P3G02;P3E02
736	ERO1	P3G02;P3F03;P3E02
737	CTF18	P3G02;P3F11
738	CEP3	P3G02;P2C02
739	WHI3	P3G02;P1F07;P2B04;P3F11;P1C04
740	YGP1	P3G02;P3B07
741	DBP2	P3G02;P2C04;P2C05;P1C04
742	HDA1	P3G02;P2B11
743	MRP7	P3G02
744	ESC8	P3G02;P1C08
745	SIN3	P3G02;P3G02;P2D03;P3G06;P3C03;P3D10;P2B07;P3G09;P3G10;P3E02
746	DED1	P3G02;P1F10;P1B04
747	STE4	P3G02;P1B02;P3D03;P1B04;P1E04;P2D06;P3E02
748	TFB6	P3G02;P1B04
749	TYW1	P3G02;P3D10
750	HOS3	P3G02;P2F09
751	ATG11	P3G02;P1G05;P2C02
752	AOS1	P3G02
753	SEC23	P3G02;P3B07;P1H11
754	GDB1	P3G02;P1C02;P2G05;P1G10;P2C05;P2C02
755	SGE1	P3G02;P3D05
756	CCR4	P1C02;P1B04
757	ECM21	P1C02;P3D02;P3D05
758	SSA3	P1C02;P1B11;P2B04;P2G11;P3C04;P3D03;P2C05
759	UBP13	P1C02;P3F07;P2C11
760	YEL1	P1C02
761	APL3	P1C02;P3G06;P2B04;P3D03;P2C05
762	PEP1	P1C02;P2D03;P1E04;P2E06
763	HMT1	P1C02;P3G06;P3C03
764	FIG1	P1C02;P3C05;P3C05
765	ATG12	P1C02
766	BIK1	P1C02
767	DCC1	P1C02;P3G06
768	SNT1	P1C02;P2G11;P2B05;P3F03;P1G08;P3E11
769	GLE1	P1C02;P2G10;P1F11
770	GGC1	P1C02
771	VMA1	P1C02;P1C02;P1G05;P3B11
772	DLD2	P1C02;P2C05
773	MHF2	P1C02
774	STE7	P1C02;P2E06;P1F11;P3E11;P2C02
775	LDB17	P1C02;P2D03
776	ENA5	P1C02;P1C02;P1C02
777	ARX1	P1C02;P3F03;P2C05;P2G09
778	SWI5	P1C02;P2B04;P2G05;P2G04;P1G08
779	NUM1	P1C02;P2C04;P3C03;P3D03;P1G04;P2G10;P2G10;P1E04;P2B05
780	PIB1	P1C02;P1F07
781	UBX5	P1C02;P1G04
782	YPS7	P1C02
783	YDR353W;YDR353W	P1C02;P2E06
784	MRP20	P1C02;P3C07;P3G10;P2C05
785	TRS120	P1C02;P3C03;P2B10;P3C05;P2B05;P2D06;P2C02
786	DIG2	P1C02;P2B05
787	UBP7	P1C02;P2E08;P3E02;P2G09
788	NDC80	P1C02
789	AXL2	P1C02;P2B04;P1G10;P3D02
790	MET6	P1C02;P3B07;P3C03;P1B03;P2C06
791	GRX4	P1C02;P2C05
792	OSW7	P1C02;P1D03
793	RTF1	P1C02;P2B04;P3D11
794	MPT5	P1C02
795	XRN1	P1C02;P3C04;P3F05;P2E06
796	SUT1	P1C02
797	PEX14	P1C02
798	NAB2	P1C02;P1H11
799	HSF1	P1C02;P3B07;P2G05;P3D10;P1B03
800	KAP122	P1C02;P1B04;P2E11
801	TRX2	P1C02
802	CAB4	P1C02;P3F05
803	ARN1	P1C02;P1E04;P2B05;P1G08
804	SLT2	P1C02;P2C02
805	UBP12	P1C02;P3C05;P2F09;P1B07;P1B07;P1B07;P3E11;P1C04
806	MEF2	P1C02
807	SAP185	P1C02;P3E02
